danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, type, id, uri, track_href, analysis_url, duration_ms, time_signature
0.627,0.219,7,-14.028,1,0.0508,0.664,0.022,0.136,0.759,77.925,audio_features,3dv148ovY8m6c0yr6f6jig,spotify:track:3dv148ovY8m6c0yr6f6jig,https://api.spotify.com/v1/tracks/3dv148ovY8m6c0yr6f6jig,https://api.spotify.com/v1/audio-analysis/3dv148ovY8m6c0yr6f6jig,186213,4
0.264,0.919,1,-4.855,1,0.0476,0.000402,5.68e-06,0.961,0.568,139.52,audio_features,6qUljqGvRNTXPbS5PtnSkV,spotify:track:6qUljqGvRNTXPbS5PtnSkV,https://api.spotify.com/v1/tracks/6qUljqGvRNTXPbS5PtnSkV,https://api.spotify.com/v1/audio-analysis/6qUljqGvRNTXPbS5PtnSkV,311307,3
0.454,0.0355,3,-32.941,0,0.0425,0.936,0.872,0.33,0.0398,148.66,audio_features,2r3r9lHCPaZr9yE1lJ8JNx,spotify:track:2r3r9lHCPaZr9yE1lJ8JNx,https://api.spotify.com/v1/tracks/2r3r9lHCPaZr9yE1lJ8JNx,https://api.spotify.com/v1/audio-analysis/2r3r9lHCPaZr9yE1lJ8JNx,182347,3
0.28,0.819,4,-4.095,1,0.0391,0.00154,0.828,0.112,0.734,97.085,audio_features,6KlBm9gH1FHWb5EEodViFj,spotify:track:6KlBm9gH1FHWb5EEodViFj,https://api.spotify.com/v1/tracks/6KlBm9gH1FHWb5EEodViFj,https://api.spotify.com/v1/audio-analysis/6KlBm9gH1FHWb5EEodViFj,286587,4
0.521,0.54,0,-12.225,1,0.0386,0.262,0.000493,0.307,0.898,124.524,audio_features,3snXMKwL1Z46QOC2LgsZos,spotify:track:3snXMKwL1Z46QOC2LgsZos,https://api.spotify.com/v1/tracks/3snXMKwL1Z46QOC2LgsZos,https://api.spotify.com/v1/audio-analysis/3snXMKwL1Z46QOC2LgsZos,177373,4
0.926,0.48,4,-11.581,0,0.137,0.134,0.0,0.275,0.864,131.324,audio_features,0ns1W2b9N8CRScKeIFyFQG,spotify:track:0ns1W2b9N8CRScKeIFyFQG,https://api.spotify.com/v1/tracks/0ns1W2b9N8CRScKeIFyFQG,https://api.spotify.com/v1/audio-analysis/0ns1W2b9N8CRScKeIFyFQG,231160,4
0.462,0.601,5,-8.305,1,0.327,0.473,0.0,0.588,0.866,182.896,audio_features,35SNiB0NyaLPEEc4Qqvma3,spotify:track:35SNiB0NyaLPEEc4Qqvma3,https://api.spotify.com/v1/tracks/35SNiB0NyaLPEEc4Qqvma3,https://api.spotify.com/v1/audio-analysis/35SNiB0NyaLPEEc4Qqvma3,126800,4
0.669,0.331,2,-14.524,1,0.0509,0.901,0.0754,0.0749,0.976,205.249,audio_features,22mCEMrH7wFWYRmB7S24TD,spotify:track:22mCEMrH7wFWYRmB7S24TD,https://api.spotify.com/v1/tracks/22mCEMrH7wFWYRmB7S24TD,https://api.spotify.com/v1/audio-analysis/22mCEMrH7wFWYRmB7S24TD,156320,4
0.658,0.675,1,-9.864,0,0.379,0.299,0.0,0.322,0.8,92.877,audio_features,55wGQBehgtzCnK5fZKGGpa,spotify:track:55wGQBehgtzCnK5fZKGGpa,https://api.spotify.com/v1/tracks/55wGQBehgtzCnK5fZKGGpa,https://api.spotify.com/v1/audio-analysis/55wGQBehgtzCnK5fZKGGpa,219053,4
0.558,0.815,2,-10.491,1,0.911,0.823,0.0,0.882,0.609,80.167,audio_features,5eEHmPnSVslEiWNAl9wrxC,spotify:track:5eEHmPnSVslEiWNAl9wrxC,https://api.spotify.com/v1/tracks/5eEHmPnSVslEiWNAl9wrxC,https://api.spotify.com/v1/audio-analysis/5eEHmPnSVslEiWNAl9wrxC,100627,4
