acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,arstist_id,artist_name,genre,name
0.135,0.452,229360.0,0.818,5qBqBdfTEIWJwAS0Jm2F5R,2.72e-05,2.0,0.052,-8.124,1.0,0.0439,124.474,4.0,0.755,1PCZpxHJz7WAMF8EEq8bfc,The Byrds,Rock,Turn! Turn! Turn! (To Everything There Is a Season)
0.155,0.408,294773.0,0.48,5WwqdeavrQrbeAMDxGawse,1.82e-05,9.0,0.0877,-11.017,1.0,0.0266,156.344,4.0,0.19,55vs7NT1KxcFjbMC4y202E,REO Speedwagon,Rock,Can't Fight This Feeling
0.00752,0.284,340907.0,0.875,1L94M3KIu7QluZe63g64rv,0.000461,11.0,0.402,-6.069,0.0,0.0422,75.009,4.0,0.595,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,Rock,Alive
0.0204,0.519,234973.0,0.441,7wCmS9TTVUcIhRalDYFgPy,0.000453,4.0,0.076,-14.178,1.0,0.0353,81.334,4.0,0.25,6zvul52xwTWzilBZl6BUbT,Pixies,Rock,Where Is My Mind? - Remastered
0.343,0.354,323360.0,0.318,0vJUdIefT5caKla9H8b1q4,0.0389,2.0,0.113,-9.974,1.0,0.034,81.854,4.0,0.281,0dgnITyIAN4NrmUVisvxHU,Tesla,Rock,Love Song
0.373,0.63,274493.0,0.551,0P7DoyGrr4Wp9w5TotEtUC,5.75e-05,9.0,0.103,-9.28,1.0,0.0549,143.868,4.0,0.518,4vpDg7Y7fU982Ds30zawDA,The Band,Rock,The Weight - Remastered
0.0163,0.767,266200.0,0.787,5QLHGv0DfpeXLNFo7SFEy1,0.583,3.0,0.0513,-9.897,1.0,0.0331,126.879,4.0,0.964,40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,Rock,1979 - Remastered 2012
0.00888,0.567,280636.0,0.559,6i9dZZQWNB06HKsQYKTiPF,0.00131,9.0,0.0764,-10.175,1.0,0.0288,127.227,4.0,0.898,3zXw2Eh96iTT51pytzHdZi,38 Special,Rock,Hold On Loosely
0.896,0.593,179760.0,0.205,2hitsKa8SthKhRJBXUHbIv,5.46e-05,9.0,0.119,-14.601,1.0,0.0479,140.279,4.0,0.377,1CYsQCypByMVgnv17qsSbQ,"Crosby, Stills, Nash & Young",Rock,Our House
0.238,0.384,354640.0,0.535,5QRs63VVKNaqUjg6XSSckM,0.00045,9.0,0.0533,-9.939,1.0,0.0289,132.445,4.0,0.232,7HL4id2U7FSDJtfKQHMgQx,Cinderella,Rock,Don't Know What You Got (Till It's Gone)
0.294,0.54,306040.0,0.423,6emdJW80SbDBMuHci8PJJn,0.0884,6.0,0.152,-8.799,1.0,0.0283,150.135,4.0,0.353,4e5V1Q2dKCzbLVMQ8qbTn6,Collective Soul,Rock,Shine
0.0266,0.466,313573.0,0.833,59WN2psjkt1tyaxjspN8fp,0.0,7.0,0.0327,-4.215,1.0,0.304,88.785,4.0,0.661,2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine,Rock,Killing In The Name
0.133,0.523,277267.0,0.758,1I7zHEdDx8Ny5RxzYPqsU2,0.0,2.0,0.0952,-9.81,1.0,0.0403,135.437,4.0,0.766,6P7H3ai06vU1sGvdpBwDmE,Steely Dan,Rock,Reelin' In The Years
0.911,0.637,339533.0,0.107,11VwZwNF29HrqwalYUMitb,0.00146,5.0,0.103,-18.759,1.0,0.0349,82.879,4.0,0.296,1nJvji2KIlWSseXRSlNYsC,The Velvet Underground,Rock,Pale Blue Eyes
0.0832,0.479,313027.0,0.601,1H4idkmruFoJBg1DvUv2tY,0.00142,7.0,0.11,-8.806,1.0,0.0318,124.966,4.0,0.669,3sFhA6G1N0gG1pszb6kk1m,Wings,Rock,Band On The Run - Remastered 2010
0.00672,0.228,246027.0,0.872,4QwcuKjGjtl5fZe7kDdULV,0.0,9.0,0.242,-5.479,0.0,0.0648,91.724,4.0,0.278,4YfnJEbTz8QLD5FusYFwV6,Triumph,Rock,Lay It on the Line
0.00682,0.628,265893.0,0.934,5B6Z7NwVqA7W3UFiqBdEJC,1.11e-05,11.0,0.0852,-6.026,1.0,0.0527,126.538,4.0,0.491,3tufWJzpCiAGleBt5TkmTn,Ratt,Rock,Round and Round
0.206,0.714,194147.0,0.937,5EOoMWIB9iK4ZpcSex9Ec7,0.0,6.0,0.0731,-2.947,1.0,0.0399,124.13,4.0,0.964,485uL27bPomh29R4JmQehQ,Bob Seger,Rock,Old Time Rock & Roll
0.189,0.541,187013.0,0.459,1Q1b8eVkUPGlpSArl8JAVw,0.0274,4.0,0.099,-10.433,0.0,0.0297,171.165,4.0,0.803,6v8FB84lnmJs434UJf2Mrm,Neil Young,Rock,Heart of Gold - 2009 Remaster
0.0195,0.264,279667.0,0.8,6dNJ3lasVLPd0078T9yqlm,0.00744,0.0,0.406,-2.427,1.0,0.0537,155.558,4.0,0.465,3yEnArbNHyTCwMRvD9SBy4,Wolfmother,Rock,Joker And The Thief
0.0342,0.421,266493.0,0.335,5buITai6eMzU8rJonMEI6e,0.00236,5.0,0.0944,-11.384,1.0,0.0324,114.227,4.0,0.0889,78SHxLdtysAXgywQ4vE0Oa,Bush,Rock,Glycerine - Remastered
0.315,0.452,312360.0,0.524,3ovjw5HZZv43SxTwApooCM,0.0,0.0,0.103,-10.108,1.0,0.0351,151.505,4.0,0.246,27T030eWyCQRmDyuvr1kxY,Scorpions,Rock,Wind Of Change
0.914,0.567,157893.0,0.159,1UKobFsdqNXQb8OthimCKe,0.0,7.0,0.111,-13.648,1.0,0.0331,146.913,4.0,0.436,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",Rock,Helplessly Hoping - 2005 Remaster
0.408,0.511,235560.0,0.308,5fsU7AtSTp0zySUf46hwbt,2.2e-05,7.0,0.15,-15.021,1.0,0.0247,83.546,4.0,0.377,1JHzh1ETQTMoFb2CgncnTL,April Wine,Rock,Just Between You And Me
7.36e-06,0.278,228639.0,0.961,7uJLdyIAaYLGT0oLw7I6b3,0.000662,7.0,0.0268,-3.845,1.0,0.0607,189.664,4.0,0.752,4zYQWYmtimAEmI6WWEzGfO,Them Crooked Vultures,Rock,New Fang
0.00141,0.361,282709.0,0.98,1RQwcsdHIW5p86cx8zuf1I,0.00268,7.0,0.294,-3.635,0.0,0.33,179.138,4.0,0.238,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Rock,Kickstart My Heart
0.0854,0.758,234467.0,0.831,5TdoMP4B6UzPiJGnyBKxcJ,1.44e-05,5.0,0.101,-5.157,1.0,0.0323,118.758,4.0,0.958,7A9yZMTrFZcgEWAX2kBfK6,Huey Lewis & The News,Rock,The Power Of Love
0.408,0.504,174840.0,0.578,4uGIJG1jYFonGc4LGp5uQL,0.0,4.0,0.321,-9.302,1.0,0.031,132.411,4.0,0.654,2qFr8w5sWUITRlzZ9kZotF,Jefferson Airplane,Rock,Somebody to Love
0.0194,0.298,262200.0,0.612,1j06ieEC2BOCM0fTmYhn2l,9.67e-05,3.0,0.0906,-9.002,0.0,0.0379,156.727,4.0,0.343,09hNSPPOxDop4FRdr6UEnq,Dokken,Rock,Alone Again
0.501,0.516,288733.0,0.549,4gvea7UlDkAvsJBPZAd4oB,0.00572,6.0,0.184,-13.741,1.0,0.0373,176.941,4.0,0.907,5dbuFbrHa1SJlQhQX9OUJ2,Don Henley,Rock,The Boys Of Summer
0.0866,0.454,354520.0,0.91,7o2CTH4ctstm8TNelqjb51,0.0996,6.0,0.116,-7.766,1.0,0.0448,125.116,4.0,0.629,3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,Rock,Sweet Child O' Mine
