acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,arstist_id,artist_name,name
0.000642,0.591,224516.0,0.82,3sqQYdKBE2BXv60F3sM25Q,0.00236,7.0,0.112,-7.259,1.0,0.0425,123.976,4.0,0.321,1b17pNackw7aDoGd6NIZzK,Parti!,Cfyh
0.216,0.813,199642.0,0.787,1uihSnDxZidO3IMM2hmUBW,0.0,8.0,0.0602,-4.098,0.0,0.177,130.065,4.0,0.451,5bWUlnPx9OYKsLiUJrhCA1,Jon Z,Nunca Me Amo
0.107,0.657,197333.0,0.752,6CJEQ49Yq40bFYTToIrVJ6,0.0,1.0,0.237,-5.935,0.0,0.33,89.39,4.0,0.638,329e4yvIujISKGKz1BZZbO,Farruko,CFM Ganga - Remix
0.00509,0.666,250452.0,0.811,69AQ6zOKOIZWd7GBsBaESi,0.0,0.0,0.0529,-5.348,1.0,0.0322,77.53,4.0,0.329,0spHbv2fw49lDMkbOAdaqX,WWE,Phenomenal (AJ Styles)
0.278,0.803,163760.0,0.887,0jXyTYEqZgFPqQvrl1dkRK,1.79e-06,1.0,0.0636,-5.714,1.0,0.0527,117.021,4.0,0.721,01nUdqwuIHCHLZNP2TvYVF,Boy Wonder CF,Una Vaina Loca (feat. Fuego)
0.000446,0.365,201750.0,0.888,74OQ8faaSDuMOuLRyPstd5,0.917,2.0,0.146,-4.896,1.0,0.0497,160.041,4.0,0.346,0spHbv2fw49lDMkbOAdaqX,WWE,The Rising Sun (Shinsuke Nakamura)
0.946,0.176,113987.0,0.226,6bS2s2UTxuroKYmFlzvbcQ,0.982,7.0,0.109,-13.401,1.0,0.0312,81.027,5.0,0.107,0MmnmsAuQKRFpo6vJElcaU,Amber Run,CF (interlude)
3.88e-05,0.496,126067.0,0.958,6hQWATY8iVBKq0Q4dtikAz,0.0,11.0,0.0997,-5.068,0.0,0.117,89.008,4.0,0.578,0spHbv2fw49lDMkbOAdaqX,WWE,Black and Blue (SmackDown)
0.05,0.493,126627.0,0.725,6NN6N6ueOjOvPOTIeAACX8,0.0,5.0,0.142,-3.481,1.0,0.0367,138.163,4.0,0.392,1Tp7C6LzxZe9Mix6rn4zbI,Wilderado,CFS
0.507,0.657,112920.0,0.542,6xHeJNQEO8iCKxRX0exDih,0.924,10.0,0.11,-13.551,1.0,0.0306,120.042,3.0,0.717,139eVtrAAUltYvtDR325fk,CFB Ice Cream,Staying Indoors
2.73e-05,0.746,278211.0,0.773,4noOyzJAcUmNorxr8gj67g,0.616,7.0,0.106,-7.332,1.0,0.0753,94.995,4.0,0.627,0spHbv2fw49lDMkbOAdaqX,WWE,The Second Coming (Burn It Down) [Seth Rollins]
0.000126,0.555,282254.0,0.904,7rkjZcGBe8CZDBkrs1s84D,0.886,4.0,0.374,-5.818,1.0,0.0511,142.237,4.0,0.802,0spHbv2fw49lDMkbOAdaqX,WWE,Undisputed (The Undisputed Era)
0.000358,0.494,356143.0,0.987,0BmwlqxjfPa3nyn5gJVrXQ,0.822,2.0,0.0937,-4.451,1.0,0.106,140.032,4.0,0.137,0spHbv2fw49lDMkbOAdaqX,WWE,Root of All Evil (Aleister Black) [feat. Incendiary]
0.00064,0.48,165000.0,0.809,115PoqmxGxgICMM0F5Uom8,1.82e-06,5.0,0.129,-6.497,0.0,0.0366,172.047,4.0,0.585,0spHbv2fw49lDMkbOAdaqX,WWE,Sky's the Limit (Sasha Banks)
0.0101,0.322,145059.0,0.694,7MxPrDnEASNBBAbQrcfdXc,0.639,5.0,0.101,-7.39,0.0,0.0616,74.789,4.0,0.559,1Xk0nDHC6tiYtyMdGPjL0Q,Dad Feels,CFBDSIR 2149-0403
