artist_id,artist_name,genre,id,name,release_date
6zvul52xwTWzilBZl6BUbT,Pixies,Rock,7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - Remastered,1988-03-21
1DFr97A9HnbV3SKTJFu62M,Motörhead,Rock,6EPRKhUOdiFSQwGBRBbvsZ,Ace of Spades,1980-11-08
3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,Rock,7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,1987-07-21
5dbuFbrHa1SJlQhQX9OUJ2,Don Henley,Rock,4gvea7UlDkAvsJBPZAd4oB,The Boys Of Summer,1984-01-01
3yEnArbNHyTCwMRvD9SBy4,Wolfmother,Rock,6dNJ3lasVLPd0078T9yqlm,Joker And The Thief,2005-01-01
0rvjqX7ttXeg3mTy8Xscbt,Journey,Rock,4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',1981
1nJvji2KIlWSseXRSlNYsC,The Velvet Underground,Rock,11VwZwNF29HrqwalYUMitb,Pale Blue Eyes,1969
3zXw2Eh96iTT51pytzHdZi,38 Special,Rock,6i9dZZQWNB06HKsQYKTiPF,Hold On Loosely,1980-01-01
3sFhA6G1N0gG1pszb6kk1m,Wings,Rock,1H4idkmruFoJBg1DvUv2tY,Band On The Run - Remastered 2010,1973-12-05
7b85ve82Sh36a3UAx74wut,Twisted Sister,Rock,1hlveB9M6ijHZRbzZ2teyh,We're Not Gonna Take It,1984-05-10
7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,Rock,5UWwZ5lm5PKu6eKsHAGxOk,Everlong,1997-05-20
2Omy3P5hFZym7FKum1JA1s,UFO,Rock,5Okf7KBikV8we3uqCMFjiL,Doctor Doctor - 2007 Remaster,1974-01-01
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,Rock,4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,1969-11-02
2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine,Rock,59WN2psjkt1tyaxjspN8fp,Killing In The Name,1992
7A9yZMTrFZcgEWAX2kBfK6,Huey Lewis & The News,Rock,5TdoMP4B6UzPiJGnyBKxcJ,The Power Of Love,2017-10-25
0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Rock,1RQwcsdHIW5p86cx8zuf1I,Kickstart My Heart,1989
6fvN9GmMCVKb5LY0WsnjFP,Nazareth,Rock,1i5oEx2vFczQ2sCY3c6Kn5,Love Hurts,1975-01-01
4x1nvY2FN8jxqAFA0DA02H,John Lennon,Rock,7pKfPomDEeI4TPT6EOYjn9,Imagine - Remastered 2010,1971-09-09
4zYQWYmtimAEmI6WWEzGfO,Them Crooked Vultures,Rock,7uJLdyIAaYLGT0oLw7I6b3,New Fang,2009-11-17
6ZPbX2Lxd40e2UVkXpyxvI,Great White,Rock,7pkWZL0kA26s754CwyK0SH,Once Bitten Twice Shy,1989-01-01
4FAEZeJcsYYBkNq2D3KGTV,Three Dog Night,Rock,2ymeOsYijJz09LfKw3yM2x,Joy To The World,1970-01-01
0dgnITyIAN4NrmUVisvxHU,Tesla,Rock,0vJUdIefT5caKla9H8b1q4,Love Song,1989-01-01
7HL4id2U7FSDJtfKQHMgQx,Cinderella,Rock,5QRs63VVKNaqUjg6XSSckM,Don't Know What You Got (Till It's Gone),1988
3tufWJzpCiAGleBt5TkmTn,Ratt,Rock,5B6Z7NwVqA7W3UFiqBdEJC,Round and Round,1984-02-14
1eClJfHLoDI4rZe5HxzBFv,INXS,Rock,1GjbTNFImFrjFsNdleDe78,Never Tear Us Apart,1987
2qFr8w5sWUITRlzZ9kZotF,Jefferson Airplane,Rock,4uGIJG1jYFonGc4LGp5uQL,Somebody to Love,1967
64mPnRMMeudAet0E62ypkx,Primus,Rock,19C0LKY3DCcQtuviPJNy5d,Jerry Was A Race Car Driver,1991-01-01
4Cqia9vrAbm7ANXbJGXsTE,Slash,Rock,1Qq7Tq8zZHuelGv9LQE2Yy,Sweet Child O' Mine - Acoustic,2014-08-25
1Yox196W7bzVNZI7RBaPnf,Megadeth,Rock,51TG9W3y9qyO8BY5RXKgnZ,Symphony Of Destruction,1992-07-14
27T030eWyCQRmDyuvr1kxY,Scorpions,Rock,3ovjw5HZZv43SxTwApooCM,Wind Of Change,1990-01-01
7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,Rock,2RlgNHKcydI9sayD2Df2xp,Mr. Blue Sky,1977
4YfnJEbTz8QLD5FusYFwV6,Triumph,Rock,4QwcuKjGjtl5fZe7kDdULV,Lay It on the Line,2010-05-14
3ICflSq6ZgYAIrm2CTkfVP,The Animals,Rock,7BY005dacJkbO6EPiOh2wb,House Of The Rising Sun,1964-01-01
5fsDcuclIe8ZiBD5P787K1,Stevie Ray Vaughan,Rock,1a2iF9XymafjRk56q7oCxo,Pride and Joy,1983
